A number of health staff were ill and the number of patients was increasing each day.	Un certain nombre de personnels de Santé étaient malades et le nombre de patients augmentait chaque jour.
Stunted growth is not only a health issue for young children, but affects the future human resources of our nation.	« Une croissance empreinte de retards n'est pas seulement un problème de santé pour les jeunes enfants mais également un problème pour les ressources humaines futures de notre nation.
The amount of time a patient spends in therapy depends on several factors, the most important being the nature of the <NC> illness or problem being treated and, for many patients, the coverage terms and <NC> restrictions of the health care delivery system.	La quantité de chronomètre d`un malade dépense dans la thérapie, et dépend de plusieurs facteurs, le plus important être la nature de la <NC> maladie ou du problème étant traitée et, pour beaucoup de malades, les termes de couverture et les <NC> restrictions du système de livraison de soin de santé.
All routine matters: clothing, <ET> hygiene, food, good health and diseases.	Toutes les questions courantes: vêtements, <NC> hygiène, alimentaire, maladies et bonne santé.
Combined Approach to Global Health Has Benefits	Une approche combinée en matière de santé mondiale présente des avantages
It is very important to follow a good healthy diet food for losing weight effectively.	Il est très important de suivre un bon régime alimentaire sain pour perdre du poids efficacement.
Every February, the <ET> World Health Organization (<NPP> WHO) recommends which <NC> influenza <NC> virus <ADJ> strains should be used for <NC> vaccine production in the northern hemisphere.	Chaque année en février, l'Organisation mondiale de la Santé (<NPP> OMS) émet des recommandations sur les souches du virus de la <NC> grippe qui devraient servir à la production de <NC> vaccins dans l'hémisphèreNord.
Each measure is implemented based on the nature of the disease and/or public health risk/emergency.	On met en œuvre chaque mesure en fonction de la nature de la maladie, du risque pour la santé publique ou du caractère urgent.
But what if patients waiting for non-emergency heart surgery could start improving their health before their procedure?	Si les patients en attente d'une chirurgie cardiaque non urgente pouvaient commencer à améliorer leur santé avant l'opération?
Those children and youth are able to get more than 4,400 prescription <NC> medicines for free by showing their health card and prescription.	Ces enfants et les jeunes peuvent recevoir plus de 4 400 <NC> médicaments d'ordonnance gratuitement en présentant leur carte Santé et l'ordonnance.
Descripteurs Health care quality	Descripteurs Maladie chronique, Régime de soins de santé
Seasonal <NC> influenza <NC> vaccine is encouraged annually for all adults and is recommended annually for adults 65 years of age and older as well as adults of all ages in specific risk situations, including healthy adults in <ADJ> close <NC> contact with children less than 5 years of age or other high‑risk individuals	On encourage d'administrer chaque année le <NC> vaccin contre la <NC> grippe saisonnière à tous les adultes âgés de 65ans ou plus et aux adultes de tous âges dans certaines situations à risque, notamment aux adultes en santé qui sont en contact étroit avec des enfants de moins de cinq ans ou avec d'autres per
The <ET> World Health Organization has issued a public application stating that goods sent from	L’Organisation mondiale de la santé a publié une demande publique déclarant que les marchandises
Oral health is important because it affects your physical appearance and self confidence.	La santé buccodentaire est importante parce qu'elle affecte votre apparence physique et la confiance en soi.
used in Health foods, improve nutritional value.	utilisés dans les aliments de santé, daméliorer la valeur nutritionnelle.
So what she was really saying was that every health-care institution needs a quality management system.	En fait, ce qu'elle voulait dire, c'était que tout établissement de soins de santé a besoin d'un système de gestion de la qualité.
